Days to Ship Actual,Sales Forecast,Ship Status,Days to Ship Scheduled,Sales per Customer,Profit Ratio,Category,City,Country,Customer Name,Days to Ship Actual (bin),Discount,Number of Records,Order Date,Order ID,Postal Code,Product Name,Profit,Quantity,Region,Sales (bin),Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
6,293,Shipped On Time,6,$209.30 ,27.00%,Office Supplies,Columbus,United States,Chuck Clark,5,0,1,12/30/2017,CA-2017-126221,47201,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",56.511,2,Central,$0 ,209.3,Home Office,1/5/2018,Standard Class,Indiana,Appliances
4,127,Shipped Early,6,$90.93 ,3.00%,Technology,New York City,United States,Patrick O'Donnell,4,0,1,12/30/2017,CA-2017-143259,10009,Gear Head AU3700S Headset,2.7279,7,East,$0 ,90.93,Consumer,1/3/2018,Standard Class,New York,Phones
4,453,Shipped Early,6,$323.14 ,3.70%,Furniture,New York City,United States,Patrick O'Donnell,4,20,1,12/30/2017,CA-2017-143259,10009,"Bush Westfield Collection Bookcases, Fully Assembled",12.1176,4,East,$0 ,323.136,Consumer,1/3/2018,Standard Class,New York,Bookcases
4,74,Shipped Early,6,$52.78 ,37.50%,Office Supplies,New York City,United States,Patrick O'Donnell,4,20,1,12/30/2017,CA-2017-143259,10009,Wilson Jones Legal Size Ring Binders,19.791,3,East,$0 ,52.776,Consumer,1/3/2018,Standard Class,New York,Binders
4,19,Shipped Early,6,$13.90 ,32.50%,Office Supplies,Fairfield,United States,Erica Bern,4,20,1,12/30/2017,CA-2017-115427,94533,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",4.5188,2,West,$0 ,13.904,Corporate,1/3/2018,Standard Class,California,Binders
4,29,Shipped Early,6,$20.72 ,31.30%,Office Supplies,Fairfield,United States,Erica Bern,4,20,1,12/30/2017,CA-2017-115427,94533,GBC Binding covers,6.475,2,West,$0 ,20.72,Corporate,1/3/2018,Standard Class,California,Binders
4,4,Shipped Early,6,$3.02 ,-20.00%,Office Supplies,Loveland,United States,Jill Matthias,4,20,1,12/30/2017,CA-2017-156720,80538,Bagged Rubber Bands,-0.6048,3,West,$0 ,3.024,Consumer,1/3/2018,Standard Class,Colorado,Fasteners
2,8,Shipped Late,1,$6.03 ,49.00%,Office Supplies,New York City,United States,Michael Chen,1,0,1,12/29/2017,US-2017-102638,10035,Ideal Clamps,2.9547,3,East,$0 ,6.03,Consumer,12/31/2017,First Class,New York,Fasteners
6,294,Shipped On Time,6,$209.70 ,48.00%,Office Supplies,Grand Rapids,United States,Ken Brennan,5,0,1,12/29/2017,CA-2017-158673,49505,Xerox 1915,100.656,2,Central,$0 ,209.7,Corporate,1/4/2018,Standard Class,Michigan,Paper
7,142,Shipped Late,6,$101.12 ,37.00%,Furniture,Anaheim,United States,Ben Peterman,6,0,1,12/29/2017,CA-2017-146626,92804,Nu-Dell Executive Frame,37.4144,8,West,$0 ,101.12,Corporate,1/5/2018,Standard Class,California,Furnishings
4,27,Shipped Early,6,$19.60 ,49.00%,Office Supplies,Edmonds,United States,Bruce Stewart,4,0,1,12/29/2017,CA-2017-130631,98026,Acco Glide Clips,9.604,5,West,$0 ,19.6,Consumer,1/2/2018,Standard Class,Washington,Fasteners
4,96,Shipped Early,6,$68.46 ,30.00%,Furniture,Edmonds,United States,Bruce Stewart,4,0,1,12/29/2017,CA-2017-130631,98026,Hand-Finished Solid Wood Document Frame,20.538,2,West,$0 ,68.46,Consumer,1/2/2018,Standard Class,Washington,Furnishings
3,1693,Shipped On Time,3,"$1,207.84 ",26.00%,Furniture,Louisville,United States,Katherine Hughes,2,0,1,12/29/2017,US-2017-158526,40214,DMI Arturo Collection Mission-style Design Wood Chair,314.0384,8,South,$956 ,1207.84,Consumer,1/1/2018,Second Class,Kentucky,Chairs
3,18,Shipped On Time,3,$12.53 ,47.00%,Office Supplies,Louisville,United States,Katherine Hughes,2,0,1,12/29/2017,US-2017-158526,40214,GBC ProClick Spines for 32-Hole Punch,5.8891,1,South,$0 ,12.53,Consumer,1/1/2018,Second Class,Kentucky,Binders
3,48,Shipped On Time,3,$34.58 ,29.00%,Office Supplies,Louisville,United States,Katherine Hughes,2,0,1,12/29/2017,US-2017-158526,40214,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,10.0282,1,South,$0 ,34.58,Consumer,1/1/2018,Second Class,Kentucky,Art
3,422,Shipped On Time,3,$300.98 ,29.00%,Furniture,Louisville,United States,Katherine Hughes,2,0,1,12/29/2017,US-2017-158526,40214,"Global Leather and Oak Executive Chair, Black",87.2842,1,South,$0 ,300.98,Consumer,1/1/2018,Second Class,Kentucky,Chairs
3,363,Shipped On Time,3,$258.75 ,30.00%,Furniture,Louisville,United States,Katherine Hughes,2,0,1,12/29/2017,US-2017-158526,40214,Harbour Creations Steel Folding Chair,77.625,3,South,$0 ,258.75,Consumer,1/1/2018,Second Class,Kentucky,Chairs
4,552,Shipped Early,6,$393.57 ,-11.30%,Furniture,Los Angeles,United States,James Galang,4,20,1,12/29/2017,CA-2017-118885,90049,"Global High-Back Leather Tilter, Burgundy",-44.2764,4,West,$0 ,393.568,Consumer,1/2/2018,Standard Class,California,Chairs
4,424,Shipped Early,6,$302.38 ,7.50%,Technology,Los Angeles,United States,James Galang,4,20,1,12/29/2017,CA-2017-118885,90049,Adtran 1202752G1,22.6782,3,West,$0 ,302.376,Consumer,1/2/2018,Standard Class,California,Phones
5,1017,Shipped Late,3,$725.84 ,29.00%,Office Supplies,San Francisco,United States,Kristen Hastings,5,0,1,12/28/2017,CA-2017-163979,94110,Adjustable Depth Letter/Legal Cart,210.4936,4,West,$478 ,725.84,Corporate,1/2/2018,Second Class,California,Storage
7,102,Shipped Late,6,$72.45 ,48.00%,Office Supplies,New York City,United States,Jennifer Ferguson,6,0,1,12/28/2017,CA-2017-164826,10024,Avery 473,34.776,7,East,$0 ,72.45,Consumer,1/4/2018,Standard Class,New York,Labels
7,20,Shipped Late,6,$13.96 ,46.00%,Office Supplies,New York City,United States,Jennifer Ferguson,6,0,1,12/28/2017,CA-2017-164826,10024,OIC Bulk Pack Metal Binder Clips,6.4216,4,East,$0 ,13.96,Consumer,1/4/2018,Standard Class,New York,Fasteners
7,21,Shipped Late,6,$14.85 ,27.00%,Technology,New York City,United States,Jennifer Ferguson,6,0,1,12/28/2017,CA-2017-164826,10024,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,4.0095,3,East,$0 ,14.85,Consumer,1/4/2018,Standard Class,New York,Phones
5,10,Shipped Early,6,$7.40 ,41.00%,Furniture,Seattle,United States,Harry Marie,5,0,1,12/28/2017,CA-2017-129805,98103,3M Hangers With Command Adhesive,3.034,2,West,$0 ,7.4,Corporate,1/2/2018,Standard Class,Washington,Furnishings
5,3,Shipped Early,6,$2.48 ,35.00%,Office Supplies,Fargo,United States,Christopher Schild,5,0,1,12/28/2017,CA-2017-135111,58103,Staples in misc. colors,0.868,1,Central,$0 ,2.48,Home Office,1/2/2018,Standard Class,North Dakota,Art
5,36,Shipped Early,6,$25.90 ,49.00%,Office Supplies,Fargo,United States,Christopher Schild,5,0,1,12/28/2017,CA-2017-135111,58103,Wilson Jones Impact Binders,12.691,5,Central,$0 ,25.9,Home Office,1/2/2018,Standard Class,North Dakota,Binders
4,166,Shipped Early,6,$118.25 ,29.00%,Office Supplies,Albuquerque,United States,Susan Vittorini,4,0,1,12/28/2017,CA-2017-122798,87105,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,34.2925,5,West,$0 ,118.25,Consumer,1/1/2018,Standard Class,New Mexico,Storage
4,6,Shipped Early,6,$4.28 ,45.00%,Office Supplies,Albuquerque,United States,Susan Vittorini,4,0,1,12/28/2017,CA-2017-122798,87105,Xerox 1953,1.926,1,West,$0 ,4.28,Consumer,1/1/2018,Standard Class,New Mexico,Paper
7,47,Shipped Late,6,$33.26 ,33.80%,Office Supplies,New York City,United States,Jennifer Ferguson,6,20,1,12/28/2017,CA-2017-164826,10024,Storex Dura Pro Binders,11.2266,7,East,$0 ,33.264,Consumer,1/4/2018,Standard Class,New York,Binders
4,38,Shipped Early,6,$27.17 ,10.00%,Office Supplies,Round Rock,United States,Greg Hansen,4,20,1,12/28/2017,CA-2017-136539,78664,Stanley Bostitch Contemporary Electric Pencil Sharpeners,2.7168,2,Central,$0 ,27.168,Consumer,1/1/2018,Standard Class,Texas,Art
6,91,Shipped On Time,6,$64.78 ,-20.00%,Office Supplies,Nashville,United States,Erica Hernandez,5,20,1,12/28/2017,CA-2017-127516,37211,Carina Double Wide Media Storage Towers in Natural & Black,-12.9568,1,South,$0 ,64.784,Home Office,1/3/2018,Standard Class,Tennessee,Storage
